Jur Dept,Jurisdictional Dept,PMA NUM,PMA Name,PMA Location Address, PMA Land SqFt ,PMA Classification,PMA Current Use,PMA Future Use If Any,City Ownership,Category,Comment
FAS,Finance & Admin Svcs,4331,Snippet at 102 MLK Jr Way S,102 Martin Luther King Jr Way S," 2,947 ",Excess,Landscaping,,Owned,Snippet,
FAS,Finance & Admin Svcs,4276,Parcel at 7342 11th Ave NE,7342 11th Ave NE," 2,799 ",Excess,Landscaping,,Owned,Difficult building site,Narrow lot
FAS,Finance & Admin Svcs,1429,Snippet at 3601 York Rd S,3601 York Rd S," 2,191 ",Excess,Landscaping,,Owned,Snippet,
FAS,Finance & Admin Svcs,63,Parcel at 180 NW Market St,180 NW Market St," 2,171 ",Excess,Slope Protection,,Owned,Difficult building site,
FAS,Finance & Admin Svcs,3744,Snippet at 1520 N Northgate Way,1520 N Northgate Way," 2,145 ",Excess,Vacant (Undeveloped),,Owned,Snippet,
FAS,Finance & Admin Svcs,4335,Parcel at 2710 S Main St,2710 S Main St," 2,128 ",Excess,Vacant (Undeveloped),,Owned,Potential sale; proceeds to OH,No OH interest due to size
FAS,Finance & Admin Svcs,69,Parcel at 4502 Midvale Ave N,4502 Midvale Ave N," 1,929 ",Excess,Landscaping,,Owned,Restricted Funding,Transfer to SDOT - street triangle.
FAS,Finance & Admin Svcs,4535,Snippet at 7343 12th Ave NE,7343 12th Ave NE," 1,809 ",Excess,Landscaping,,Owned,Snippet,
FAS,Finance & Admin Svcs,53,Snippet at 5301 47th Ave SW,5301 47th Ave SW," 1,759 ",Excess,Landscaping,,Owned,Snippet,
FAS,Finance & Admin Svcs,85,Parcel at 9399 8th Ave SW,9399 8th Ave SW," 1,699 ",Excess,Vacant (Undeveloped),,Owned,Potential sale; proceeds to OH,No OH interest due to size
FAS,Finance & Admin Svcs,62,Parcel at 104 NW 47th,104 NW 47th St," 1,673 ",Excess,Excess Right-of-Way,,Owned,Difficult building site,
FAS,Finance & Admin Svcs,4533,Snippet at 8520 2nd Ave NE,8520 2nd Ave NE," 1,623 ",Excess,Landscaping,,Owned,Snippet,
FAS,Finance & Admin Svcs,1573,Snippet at 8526 2nd Ave NE,8526 2nd Ave NE," 1,618 ",Excess,Landscaping,,Owned,Snippet,
FAS,Finance & Admin Svcs,1556,Snippet at 3499 Arapahoe Pl W,3499 Arapahoe Pl W," 1,554 ",Excess,Landscaping,,Owned,Snippet,
FAS,Finance & Admin Svcs,64,Parcel at 201 NW 50th St,201 NW 50th St," 1,533 ",Excess,Slope Protection,,Owned,Difficult building site,
FAS,Finance & Admin Svcs,4534,Snippet at 8515 Latona Ave NE,8515 Latona Ave NE," 1,500 ",Excess,Landscaping,,Owned,Snippet,
FAS,Finance & Admin Svcs,4332,Snippet at 2715 E Yesler Way,2715 E Yesler Way," 1,400 ",Excess,Parking,,Owned,Snippet,
FAS,Finance & Admin Svcs,67,Snippet at 5300 NW 53rd St,5300 NW 53rd St," 1,364 ",Excess,Slope Protection,,Owned,Snippet,
FAS,Finance & Admin Svcs,1574,Snippet at 8521 Latona Ave NE,8521 Latona Ave NE," 1,171 ",Excess,Landscaping,,Owned,Snippet,
FAS,Finance & Admin Svcs,1626,Snippet at 5655 31st Ave SW,5655 31st Ave SW," 1,150 ",Excess,Landscaping,,Owned,Snippet,
FAS,Finance & Admin Svcs,4327,Snippet at 138 MLK Jr Way,138 Martin Luther King Jr Way," 1,128 ",Excess,Slope Protection,,Owned,Snippet,
FAS,Finance & Admin Svcs,4328,Snippet at 146 MLK Jr Way,146 Martin Luther King Jr Way," 1,128 ",Excess,Slope Protection,,Owned,Snippet,
FAS,Finance & Admin Svcs,4329,Snippet at 116 MLK Jr Way,116 Martin Luther King Jr Way," 1,128 ",Excess,Slope Protection,,Owned,Snippet,
FAS,Finance & Admin Svcs,84,Parcel at  4707 Woodland Park Ave N,4707 Woodland Park Ave N," 1,055 ",Excess,Landscaping,,Owned,Snippet,
FAS,Finance & Admin Svcs,4593,Parcel at 5023 Baker Ave NW,5023 Baker Ave NW," 1,013 ",Excess,Landscaping,,Owned,Difficult building site,
FAS,Finance & Admin Svcs,1554,Snippet at 14031 Ashworth Ave N,14031 Ashworth Ave N," 1,006 ",Excess,Landscaping,,Owned,Snippet,
FAS,Finance & Admin Svcs,1662,Snippet at 11192 Beacon Ave S,11192 Beacon Ave S," 1,000 ",Excess,Landscaping,,Owned,Snippet,
FAS,Finance & Admin Svcs,1625,"56th Ave S Roadway, 5595 56th Ave S",5595 56th Ave S, 972 ,Excess,Roadway,,Owned,Retain for City use,Transfer to SDOT - roadway use
FAS,Finance & Admin Svcs,1623,"56th Ave S Roadway, 5593 56th Ave S",5593 56th Ave S, 960 ,Excess,Roadway,,Owned,Retain for City use,Transfer to SDOT - roadway use
FAS,Finance & Admin Svcs,42,Snippet at 2330 12th Ave S,2330 12th Ave S, 825 ,Excess,Landscaping,,Owned,Snippet,
FAS,Finance & Admin Svcs,4526,Snippet at 3614 50th Ave SW,3614 50th Ave SW, 783 ,Excess,Landscaping,,Owned,Snippet,
FAS,Finance & Admin Svcs,1091,Snippet at 4920 SW Charlestown St,4920 SW Charlestown St, 780 ,Excess,Landscaping,,Owned,Snippet,
FAS,Finance & Admin Svcs,4527,Snippet At 3620 50th Ave SW,3620 50th Ave SW, 780 ,Excess,Landscaping,,Owned,Snippet,
FAS,Finance & Admin Svcs,4528,Snippet At 3626 50th Ave SW,3626 50th Ave SW, 780 ,Excess,Landscaping,,Owned,Snippet,
FAS,Finance & Admin Svcs,1659,Snippet at 5615 S Leo St,5615 S Leo St, 740 ,Excess,Landscaping,,Owned,Snippet,
FAS,Finance & Admin Svcs,4532,Snippet At 3648 50th Ave SW,3648 50th Ave SW, 731 ,Excess,Landscaping,,Owned,Snippet,
FAS,Finance & Admin Svcs,4529,Snippet At 3630 50th Ave SW,3630 50th Ave SW, 728 ,Excess,Landscaping,,Owned,Snippet,
FAS,Finance & Admin Svcs,4530,Snippet At 3638 50th Ave SW,3638 50th Ave SW, 728 ,Excess,Landscaping,,Owned,Snippet,
FAS,Finance & Admin Svcs,4531,Snippet At 3642 50th Ave SW,3642 50th Ave SW, 728 ,Excess,Landscaping,,Owned,Snippet,
FAS,Finance & Admin Svcs,1555,Snippet at 398 NE 40th St,398 NE 40th St, 658 ,Excess,Landscaping,,Owned,Snippet,
FAS,Finance & Admin Svcs,71,Snippet at 1398 MLK Jr Way S,1398 Martin Luther King Jr Way S, 634 ,Excess,Landscaping,,Owned,Snippet,
FAS,Finance & Admin Svcs,29,Snippet at 8646 45th Ave S,8646 45th Ave S, 596 ,Excess,Landscaping,,Owned,Snippet,
FAS,Finance & Admin Svcs,1647,Snippet at 4642 S Frontenac St,4642 S Frontenac St, 593 ,Excess,Landscaping,,Owned,Snippet,
FAS,Finance & Admin Svcs,1567,Snippet at 14314 27th Ave NE,14314 27th Ave NE, 517 ,Excess,Landscaping,,Owned,Snippet,
FAS,Finance & Admin Svcs,1661,Snippet at 11150 Beacon Ave S,11150 Beacon Ave S, 500 ,Excess,Landscaping,,Owned,Snippet,
FAS,Finance & Admin Svcs,1568,Snippet at 1210 NE 107th St,1210 NE 107th St, 498 ,Excess,Landscaping,,Owned,Snippet,
FAS,Finance & Admin Svcs,1430,Snippet at Angeline and 38th Ave S,3800 S Angeline St, 477 ,Excess,Landscaping,,Owned,Snippet,
FAS,Finance & Admin Svcs,4525,Snippet at 7027 3rd Ave NW,7027 3rd Ave NW, 453 ,Excess,Landscaping,,Owned,Snippet,
FAS,Finance & Admin Svcs,4334,Snippet at 2716 S Washington St,2716 S Washington St, 451 ,Excess,Landscaping,,Owned,Snippet,
FAS,Finance & Admin Svcs,1577,Snippet at 1215 NE 77th St,1215 NE 77th St, 423 ,Excess,Landscaping,,Owned,Snippet,
FAS,Finance & Admin Svcs,52,Parcel at 1510 W Emerson St,1510 W Emerson St, 419 ,Excess,Green Space/Natural Area,,Owned,Difficult building site,
FAS,Finance & Admin Svcs,1650,Snippet at 3044 S Austin St,3044 S Austin St, 372 ,Excess,Landscaping,,Owned,Snippet,
FAS,Finance & Admin Svcs,1098,Snippet at 8109 48th Ave S,8109 48th Ave S, 337 ,Excess,Landscaping,,Owned,Snippet,
FAS,Finance & Admin Svcs,1571,Snippet at 8817 20th Ave NE,8817 20th Ave NE, 317 ,Excess,Landscaping,,Owned,Snippet,
FAS,Finance & Admin Svcs,1646,Snippet at 6809 51st Ave S,6809 51st Ave S, 309 ,Excess,Landscaping,,Owned,Snippet,
FAS,Finance & Admin Svcs,1103,Snippet at 8544 Evanston Ave N,8544 Evanston Ave N, 280 ,Excess,Vacant (Undeveloped),,Owned,Snippet,
FAS,Finance & Admin Svcs,1660,Snippet at 11132 Beacon Ave S,11132 Beacon Ave S, 250 ,Excess,Landscaping,,Owned,Snippet,
FAS,Finance & Admin Svcs,4509,Snippet at 1728 Alki Ave SW,1728 Alki Ave SW, 226 ,Excess,Landscaping,,Owned,Snippet,
FAS,Finance & Admin Svcs,1605,Snippet at 4930 SW Forney St,4930 SW Forney St, 223 ,Excess,Landscaping,,Owned,Snippet,
FAS,Finance & Admin Svcs,4505,Snippet at 1710 Alki Ave SW,1710 Alki Ave SW, 221 ,Excess,Landscaping,,Owned,Snippet,
FAS,Finance & Admin Svcs,1578,Snippet at 640 NE Banner Pl,640 NE Banner Pl, 214 ,Excess,Landscaping,,Owned,Snippet,
FAS,Finance & Admin Svcs,1663,Snippet at 11498 Renton Av S,"11498 Renton Ave S, King Co", 214 ,Excess,Landscaping,,Owned,Snippet,
FAS,Finance & Admin Svcs,4510,Snippet at 1732 Alki Ave SW,1732 Alki Ave SW, 214 ,Excess,Landscaping,,Owned,Snippet,
FAS,Finance & Admin Svcs,4508,Snippet at 1722 Alki Ave SW,1722 Alki Ave SW, 210 ,Excess,Landscaping,,Owned,Snippet,
FAS,Finance & Admin Svcs,4512,Snippet at 1736 Alki Ave SW,1736 Alki Ave SW, 209 ,Excess,Landscaping,,Owned,Snippet,
FAS,Finance & Admin Svcs,4507,Snippet at 1718 Alki Ave SW,1718 Alki Ave SW, 200 ,Excess,Landscaping,,Owned,Snippet,
FAS,Finance & Admin Svcs,4511,Snippet at 1734 Alki Ave SW,1734 Alki Ave SW, 194 ,Excess,Landscaping,,Owned,Snippet,
FAS,Finance & Admin Svcs,4516,Snippet at 1756 Alki Ave SW,1756 Alki Ave SW, 180 ,Excess,Landscaping,,Owned,Snippet,
FAS,Finance & Admin Svcs,4515,Snippet at 1752 Alki Ave SW,1752 Alki Ave SW, 175 ,Excess,Landscaping,,Owned,Snippet,
FAS,Finance & Admin Svcs,4514,Snippet at 1750 Alki Ave SW,1750 Alki Ave SW, 174 ,Excess,Landscaping,,Owned,Snippet,
FAS,Finance & Admin Svcs,4517,Snippet at 1758 Alki Ave SW,1758 Alki Ave SW, 174 ,Excess,Landscaping,,Owned,Snippet,
FAS,Finance & Admin Svcs,4513,Snippet at 1738 Alki Ave SW,1738 Alki Ave SW, 173 ,Excess,Landscaping,,Owned,Snippet,
FAS,Finance & Admin Svcs,4506,Snippet at 1714 Alki Ave SW,1714 Alki Ave SW, 167 ,Excess,Landscaping,,Owned,Snippet,
FAS,Finance & Admin Svcs,19,Snippet at 5051 24th Ave S,5051 24th Ave S, 160 ,Excess,Landscaping,,Owned,Snippet,
FAS,Finance & Admin Svcs,4504,Snippet at 1708 Alki Ave SW,1708 Alki Ave SW, 160 ,Excess,Landscaping,,Owned,Snippet,
FAS,Finance & Admin Svcs,4503,Snippet at 1706 Alki Ave SW,1706 Alki Ave SW, 158 ,Excess,Landscaping,,Owned,Snippet,
FAS,Finance & Admin Svcs,4524,Snippet at 7602 6th Ave NE,7602 6th Ave NE, 143 ,Excess,Landscaping,,Owned,Snippet,
FAS,Finance & Admin Svcs,1622,Snippet at 5239 57th Ave S,5239 57th Ave S, 140 ,Excess,Landscaping,,Owned,Snippet,
FAS,Finance & Admin Svcs,1569,Snippet at 9220 6th Ave NW,9220 6th Ave NW, 126 ,Excess,Landscaping,,Owned,Snippet,
FAS,Finance & Admin Svcs,1582,Snippet at 6399 Woodlawn Ave N,6399 Woodlawn Ave N, 114 ,Excess,Landscaping,,Owned,Snippet,
FAS,Finance & Admin Svcs,4502,Snippet at 1704 Alki Ave SW,1704 Alki Ave SW, 114 ,Excess,Landscaping,,Owned,Snippet,
FAS,Finance & Admin Svcs,1576,Snippet at 8408 6th Ave NW,8408 6th Ave NW, 110 ,Excess,Landscaping,,Owned,Snippet,
FAS,Finance & Admin Svcs,4235,"56th Ave S Roadway, 5599 56th Ave S",5599 56th Ave S, 110 ,Excess,Roadway,,Owned,Retain for City use,Transfer to SDOT - roadway use
FAS,Finance & Admin Svcs,1615,Snippet at 5019 13th Ave S,5019 13th Ave S, 100 ,Excess,Landscaping,,Owned,Snippet,
FAS,Finance & Admin Svcs,1586,Snippet at 810 NE 56th St,810 NE 55th St, 99 ,Excess,Landscaping,,Owned,Snippet,
FAS,Finance & Admin Svcs,4521,Snippet at 2851 S Morgan St,2851 S Morgan St, 96 ,Excess,Landscaping,,Owned,Snippet,
FAS,Finance & Admin Svcs,1585,Snippet at 799 NE 56th St,799 NE 56th St, 85 ,Excess,Landscaping,,Owned,Snippet,
FAS,Finance & Admin Svcs,1591,Snippet at 915 24th Ave,915 24th Ave, 81 ,Excess,Landscaping,,Owned,Snippet,
FAS,Finance & Admin Svcs,1592,Snippet at 3798 E Jefferson St,3798 E Jefferson St, 75 ,Excess,Landscaping,,Owned,Snippet,
FAS,Finance & Admin Svcs,4519,Snippet at 4709 NW Market,4709 NW Market St, 75 ,Excess,Slope Protection,,Owned,Snippet,
FAS,Finance & Admin Svcs,3752,Snippet at 3815 Linden Ave N,3815 Linden Ave N, 60 ,Excess,Landscaping,,Owned,Snippet,
FAS,Finance & Admin Svcs,4518,Snippet at 1760 Alki Ave SW,1760 Alki Ave SW, 58 ,Excess,Landscaping,,Owned,Snippet,
Parks,Parks and Recreation,9040,Red Barn Ranch,"17601 SE Lake Moneysmith Rd,King Co"," 1,685,336 ",Excess,Park/Playground/Viewpoint,,Owned,Outside City limits,
SCL,Seattle City Light,4171,Roy Street Shops,800  Aloha St," 65,677 ",Excess,Warehouse / Storage (Covered ),,Owned,In Process,8th and Roy parcel. In process with potential RFP package to be proposed later in 2016
SCL,Seattle City Light,677,Arbor Heights Substation Site,9450 34th Ave SW," 13,402 ",Excess,Vacant (Undeveloped),,Owned,,
SCL,Seattle City Light,3945,Roxbury Substation Site,9370 52nd Ave S," 11,350 ",Excess,Vacant (Undeveloped),,Owned,,
SCL,Seattle City Light,678,Lakewood Substation Site- Ptn of Genesee Park,4323 S Genesee St," 10,339 ",Excess,Park/Playground/Viewpoint,,Part of Another PMA,Restricted Funding,
SCL,Seattle City Light,3986,Interbay Substation Site,2000 13th Ave W," 8,397 ",Excess,Vacant (Undeveloped),,Owned,Restricted Funding,
SCL,Seattle City Light,519,Loyal Heights Substation Site,7750 28th Ave NW," 8,152 ",Excess,Vacant (Undeveloped),,Owned,Restricted Funding,
SCL,Seattle City Light,4549,Residential Rental,3814 4th Ave NE," 8,029 ",Excess,Residential,,Owned,Restricted Funding,
SCL,Seattle City Light,4026,Battery Street Substation- Former,2330 Western Ave," 7,359 ",Excess,Unused (Vacant Improved),Not available,Owned,Restricted Funding,
SCL,Seattle City Light,676,North Beach Substation Site,9407 19th Ave NW," 6,585 ",Excess,Vacant (Undeveloped),,Owned,Restricted Funding,
SCL,Seattle City Light,560,Sunset Substation Site,3209 NW 65th St," 6,298 ",Excess,Vacant (Undeveloped),,Owned,Restricted Funding,
SCL,Seattle City Light,551,Phinney Substation Site,6109 Phinney Ave N," 6,000 ",Excess,Vacant (Undeveloped),,Owned,Restricted Funding,
SCL,Seattle City Light,621,Dawson Substation,5211 47th Ave SW," 5,673 ",Excess,Substation,,Owned,,
SCL,Seattle City Light,3893,Ballard Substation Site,6730 24th Ave NW," 5,139 ",Excess,Vacant (Undeveloped),,Owned,Restricted Funding,
SCL,Seattle City Light,622,Thorndyke Substation,2333 W Boston St," 4,885 ",Excess,Substation,,Owned,Restricted Funding,
SCL,Seattle City Light,626,Morgan Street Substation,4118 SW Morgan St," 4,537 ",Excess,Vacant (Undeveloped),,Owned,,
SCL,Seattle City Light,570,Monroe Substation Site,1405 NW 65th St," 4,036 ",Excess,Vacant (Undeveloped),,Owned,Restricted Funding,
SCL,Seattle City Light,528,"Alley in Block 48, State Plat 3-25-4",NE 65th St betw 49th & 50th Ave NE," 3,844 ",Excess,Alley Use,,Owned,Restricted Funding,
SDOT,Dept of Transportation,4375,Ballard Terminal Rail Road Parcels on Real Ppty,Various Locations," 214,244 ",Excess,Unused (Vacant Improved),,Owned,Restricted Funding,
SDOT,Dept of Transportation,4551,Glassyard Property,7115 2nd Ave SW," 165,725 ",Excess,Storage (Uncovered),,Owned,Restricted Funding,
SDOT,Dept of Transportation,3800,Orchard Corners PMA- Number 3800,2199 SW Orchard St," 65,812 ",Excess,Vacant (Undeveloped),Roadway,Owned,Restricted Funding,
SDOT,Dept of Transportation,3796,Parcel at 1898 SW Orchard St,1898 SW Orchard St," 60,736 ",Excess,Vacant (Undeveloped),Roadway,Owned,Restricted Funding,
SDOT,Dept of Transportation,3324,Mercer Corridor Project- 800 Mercer St,800 Mercer St," 54,275 ",Excess,Transportation Uses,,Owned,In Process,Megablock. In process with potential RFP package to be proposed later in 2016
SDOT,Dept of Transportation,3799,Orchard Corners PMA- Number 3799,7398 21st Ave SW," 34,705 ",Excess,Vacant (Undeveloped),Roadway,Owned,Restricted Funding,
SDOT,Dept of Transportation,3797,Parcel at 1999 SW Orchard St,1999 SW Orchard St," 32,368 ",Excess,Slope Protection,,Owned,Restricted Funding,
SDOT,Dept of Transportation,3782,Graham St Parcel,2201 S Graham St," 31,829 ",Excess,Roadway,,Owned,Restricted Funding,
SDOT,Dept of Transportation,4186,Building at 620 Aurora Ave N,620 Aurora Ave N," 24,182 ",Excess,Commercial Use,,Owned,In Process,Copiers NW building. In process with potential RFP package to be proposed later in 2016
SDOT,Dept of Transportation,3794,Parcel at 7015 18th Ave SW,7015 18th Ave SW," 19,284 ",Excess,Vacant (Undeveloped),Roadway,Owned,Restricted Funding,
SDOT,Dept of Transportation,3750,Excess R/W at Seaview Ave NW,5980 Seaview Ave NW," 19,118 ",Excess,Slope Protection,,Owned,Restricted Funding,
SDOT,Dept of Transportation,3798,Parcel at 7398 Delridge Wy SW,7398 Delridge Way SW," 16,088 ",Excess,Vacant (Undeveloped),Roadway,Owned,Restricted Funding,
SDOT,Dept of Transportation,3784,Excess R/W at 2202 S Graham St,2202 S Graham St," 12,736 ",Excess,Slope Protection,,Owned,Restricted Funding,
SDOT,Dept of Transportation,3801,Orchard Corners PMA- Number 3801,7598 Delridge Way SW," 12,422 ",Excess,Vacant (Undeveloped),Roadway,Owned,Restricted Funding,
SDOT,Dept of Transportation,3795,Parcel at 7045 18th Ave SW,7045 18th Ave SW," 11,146 ",Excess,Vacant (Undeveloped),Roadway,Owned,Restricted Funding,
SDOT,Dept of Transportation,4570,Burke-Gilman Trail Property used by Halleerod LLC,3935 Leary Way NW," 10,020 ",Excess,Parking,,Owned,Restricted Funding,
SDOT,Dept of Transportation,4192,Mercer Corridor Parking Lot-  650 Dexter Ave N,650 Dexter Ave N," 9,530 ",Excess,Parking,,Owned,Restricted Funding,
SDOT,Dept of Transportation,4193,Mercer Corridor Store- 900 Broad St,900 Broad St," 7,665 ",Excess,Commercial Use,,Owned,In Process,In process.  Looking at potential city uses on this site.
SDOT,Dept of Transportation,4373,Bright St Parcel- Former BNRR R/W,NW Bright St & Leary Way NW," 6,717 ",Excess,Vacant (Undeveloped),,Owned,Restricted Funding,
SDOT,Dept of Transportation,4184,Parcel at 614 Roy St,614 Roy St," 6,645 ",Excess,Vacant (Undeveloped),,Owned,In Process,In process.  Looking at potential city uses on this site.
SDOT,Dept of Transportation,4183,Parcel at 560 Roy St,560 Roy St," 6,365 ",Excess,Parking,,Owned,In Process,In process.  Looking at potential city uses on this site.
SDOT,Dept of Transportation,4073,Banner Way Triangle,7802 Banner Way NE," 5,884 ",Excess,Landscaping,,Owned,Restricted Funding,
SDOT,Dept of Transportation,3635,Excess R/W at 2198 Dexter Ave N,2198 Dexter Way N," 5,477 ",Excess,Slope Protection,,Owned,Restricted Funding,
SDOT,Dept of Transportation,4077,Building at 805 NE Northlake Pl,805 NE Northlake Pl," 2,833 ",Excess,Unused (Vacant Improved),,Owned,Restricted Funding,
SDOT,Dept of Transportation,3781,56th Ave S Roadway,5597 56th Ave S," 1,200 ",Excess,Roadway,,Owned,Restricted Funding,
SDOT,Dept of Transportation,1069,Snippet at 7031 3rd Ave NW,7031 3rd Ave NW, 523 ,Excess,Landscaping,,Owned,Restricted Funding,
SPU,Seattle Public Utilities,1260,Eastside Reservoir,"146th Ave SE & SE 45th St, Bellevue"," 383,896 ",Excess,Water Use,,Owned,Restricted Funding,
SPU,Seattle Public Utilities,9190,Lake Youngs Aqueduct R/W Excess Parcel B,Lake Youngs Aqu R/W in SE-18-22-6," 64,033 ",Excess,Vacant (Undeveloped),,Owned,Outside City limits,
SPU,Seattle Public Utilities,4288,Drainage PMA- Number 4288 / DWU,777 NW Carkeek Park Rd," 62,529 ",Excess,Drainage and Wastewater Use,,Owned,Restricted Funding,
SPU,Seattle Public Utilities,9127,Excess Property Near Lake Youngs Supply Line R/W,King Co," 59,242 ",Excess,Vacant (Undeveloped),,Owned,Outside City limits,
SPU,Seattle Public Utilities,9191,Lake Youngs Aqueduct R/W Excess Parcel C,Lake Youngs Aqu R/W in NW-13-22-5," 16,820 ",Excess,Vacant (Undeveloped),,Owned,Outside City limits,
SPU,Seattle Public Utilities,9189,Lake Youngs Aqueduct R/W Excess Parcel A,23611 Maple Vly-Black Diamond Rd SE," 12,200 ",Excess,Vacant (Undeveloped),,Owned,Outside City limits,
